model,checkpoint_sha256,split_hash,filename,mse,cc,sim
center,not_applicable,7ad21b6a799f,COCO_val2014_000000017095.jpg,0.14911627769470215,0.36607620120048523,0.367408812046051
center,not_applicable,7ad21b6a799f,COCO_val2014_000000017207.jpg,0.09762894362211227,0.7514026165008545,0.5470110177993774
center,not_applicable,7ad21b6a799f,COCO_val2014_000000017282.jpg,0.11564445495605469,0.5125788450241089,0.4553897976875305
center,not_applicable,7ad21b6a799f,COCO_val2014_000000017311.jpg,0.12803268432617188,0.5103574991226196,0.529877781867981
center,not_applicable,7ad21b6a799f,COCO_val2014_000000017350.jpg,0.08234234899282455,0.6888889670372009,0.6340299844741821
center,not_applicable,7ad21b6a799f,COCO_val2014_000000017482.jpg,0.09941308945417404,0.5686582922935486,0.5821958780288696
center,not_applicable,7ad21b6a799f,COCO_val2014_000000017627.jpg,0.09858252108097076,0.6520610451698303,0.5399422645568848
center,not_applicable,7ad21b6a799f,COCO_val2014_000000017667.jpg,0.12349173426628113,0.5248599648475647,0.5139597058296204
center,not_applicable,7ad21b6a799f,COCO_val2014_000000017708.jpg,0.1571875810623169,0.29627150297164917,0.3047095239162445
center,not_applicable,7ad21b6a799f,COCO_val2014_000000017714.jpg,0.10093243420124054,0.6277453303337097,0.5449852347373962
center,not_applicable,7ad21b6a799f,COCO_val2014_000000018150.jpg,0.12546533346176147,0.5539730191230774,0.4906756281852722
center,not_applicable,7ad21b6a799f,COCO_val2014_000000018193.jpg,0.14770621061325073,0.3842727243900299,0.3476918935775757
center,not_applicable,7ad21b6a799f,COCO_val2014_000000018224.jpg,0.14905768632888794,0.3450024127960205,0.3636746406555176
center,not_applicable,7ad21b6a799f,COCO_val2014_000000018442.jpg,0.09805168211460114,0.6356909871101379,0.5383039712905884
center,not_applicable,7ad21b6a799f,COCO_val2014_000000018575.jpg,0.08164063841104507,0.5259559750556946,0.6564350128173828
center,not_applicable,7ad21b6a799f,COCO_val2014_000000018687.jpg,0.08345470577478409,0.6520466804504395,0.6229555606842041
center,not_applicable,7ad21b6a799f,COCO_val2014_000000018699.jpg,0.1365882158279419,0.33935248851776123,0.36339080333709717
center,not_applicable,7ad21b6a799f,COCO_val2014_000000018837.jpg,0.13438746333122253,0.30823442339897156,0.5008729100227356
center,not_applicable,7ad21b6a799f,COCO_val2014_000000018903.jpg,0.12337392568588257,0.4324662387371063,0.5919716358184814
center,not_applicable,7ad21b6a799f,COCO_val2014_000000019132.jpg,0.11207638680934906,0.6222800016403198,0.5374448299407959
center,not_applicable,7ad21b6a799f,COCO_val2014_000000019158.jpg,0.17524512112140656,0.017050988972187042,0.2606320083141327
center,not_applicable,7ad21b6a799f,COCO_val2014_000000019176.jpg,0.11444059759378433,0.5525496602058411,0.4789609909057617
center,not_applicable,7ad21b6a799f,COCO_val2014_000000019292.jpg,0.09076399356126785,0.5751039385795593,0.5819134712219238
center,not_applicable,7ad21b6a799f,COCO_val2014_000000019432.jpg,0.14845705032348633,0.2636375427246094,0.35919323563575745
